date,air_quality_pm2_5,air_quality_pm10,air_quality_ozone,air_quality_nitrogen_dioxide,air_quality_sulphur_dioxide,air_quality_carbon_monoxide,air_quality_ammonia,air_quality_aerosol_optical_depth,air_quality_dust,air_quality_uv_index,day,hour,dayofweek,avg_pm
2025-10-23 19:00:00,50.5,56.2,155.0,1.8,9.2,412.0,,0.31,12.0,5.9,23,19,3,53.35
2025-10-23 19:00:00,43.3,49.1,153.0,1.1,7.7,334.0,,0.31,12.0,5.3,23,19,3,46.199997
2025-10-23 19:00:00,38.8,44.5,147.0,1.8,6.5,305.0,,0.3,11.0,3.85,23,19,3,41.65
2025-10-23 19:00:00,35.4,41.0,139.0,3.4,6.0,346.0,,0.29,10.0,2.1,23,19,3,38.2
2025-10-23 19:00:00,35.4,40.2,127.0,6.3,5.8,437.0,,0.28,8.0,0.75,23,19,3,37.800003
2025-10-23 19:00:00,40.5,44.2,113.0,11.0,6.1,514.0,,0.27,7.0,0.1,23,19,3,42.35
2025-10-23 19:00:00,50.1,53.8,96.0,19.1,6.9,549.0,,0.26,7.0,0.0,23,19,3,51.949997
2025-10-23 19:00:00,60.8,64.7,77.0,29.0,8.2,570.0,,0.26,7.0,0.0,23,19,3,62.75
2025-10-23 19:00:00,72.4,76.6,61.0,36.6,9.3,598.0,,0.25,8.0,0.0,23,19,3,74.5
2025-10-23 19:00:00,83.8,88.2,51.0,40.2,10.2,646.0,,0.25,8.0,0.0,23,19,3,86.0
2025-10-23 19:00:00,93.6,98.3,44.0,41.3,11.1,701.0,,0.25,9.0,0.0,23,19,3,95.95
2025-10-23 19:00:00,99.4,104.1,40.0,40.9,11.5,738.0,,0.26,9.0,0.0,23,19,3,101.75
2025-10-23 19:00:00,99.0,103.4,38.0,38.6,11.3,751.0,,0.28,9.0,0.0,23,19,3,101.2
2025-10-23 19:00:00,97.3,102.0,37.0,34.7,10.6,747.0,,0.28,9.0,0.0,23,19,3,99.65
2025-10-23 19:00:00,95.5,100.1,38.0,30.6,9.9,720.0,,0.28,9.0,0.0,23,19,3,97.8
2025-10-23 19:00:00,91.5,96.4,40.0,26.1,9.2,631.0,,0.27,9.0,0.0,23,19,3,93.95
2025-10-23 19:00:00,85.4,90.6,44.0,21.5,8.5,518.0,,0.27,9.0,0.0,23,19,3,88.0
